source_page,source_row,brand,pattern,size,quantity
1,1,Ralson,RDR75,265/70r19.5,8
1,2,Ralson,RMR61,265/70r19.5,7
1,3,Ralson,RMR61,295/80r22.5,51
1,4,Ralson,RAC55,295/80r22.5,38
1,5,Ralson,RDR75,295/80r22.5,16
1,6,Ralson,RMR61,385/65r22.5,16
1,7,Ralson,RTR71,11r22.5,17
1,8,Ralson,RDR52,11r22.5,16
1,9,Ralson,RDR55,11r22.5,36
1,10,Ralson,RDC66,11r22.5,16
1,11,Ralson,RAC55,11r22.5,22
1,12,Ralson,RDR75,235/75r17.5,16
1,13,Ralson,RMR61,235/75r17.5,16
1,14,Ralson,RMR61,275/70r22.5,3
1,15,Greforce,HD02,11r22.5,8
1,16,Greforce,GR881W,11r22.5,107
1,17,Greforce,G-ARMOR,11r22.5,74
1,18,Greforce,GRD1919,11r22.5,37
1,19,Greforce,G-PILOT,295/80r22.5,37
1,20,Greforce,GRT33,9.5r17.5,09
1,21,Greforce,GRT33,235/75r17.5,13
1,22,Jumbo,SS398,295/80r22.5,18
1,23,Jumbo,SS618,275/70r22.5,40
1,24,Opartner,CP989,265/70r19.5,7
1,25,Haulmax,ATT101,11r22.5,6
1,26,Haulmax,ATT101,275/70r22.5,5
2,27,Haulmax,ATT420,295/80r22.5,2
2,28,Sailun,SFR22,385/65r22.5,2
2,29,Sailun,S606,315/80r22.5,2
2,30,Marvemax,MX921,11r22.5,2
2,31,Roadone,HF21,11r22.5,1
2,32,Hawkway,HW863,11r22.5,3
2,33,Triangle,TR918,315/80r22.5,2
2,34,Triangle,TR685,305/70r19.5,5
2,35,Triangle,TRS02,305/70r22.5,2
2,36,Triangle,TR685,245/70r19.5,4
2,37,Nipon,AD156,11r22.5,7
2,38,Hankook,AH39,385/65r22.5,6
2,39,Regional,S647+,245/70r19.5,2
2,40,Westlake,GR9604,205/75r17.5,2
2,41,Westlake,Z-108,195/65r15,4
2,42,Sailun,S637+,255/70r22.5,4
2,43,Sailun,S637+,9.5r17.5,1
2,44,Sailun,S637+,255/85r11.5,2
2,45,Sailun,S637,215/75r17.5,1
2,46,Sailun,S637,265/70r19.5,1
2,47,Cotechoo,99t,215/70r16,12
2,48,Annaite,An900,195/85r16,5
2,49,Sailun,An800,225/75r16,6
2,50,Durable,Sport,255/40r19,1
2,51,Sailun,S702,205/75r17.5,2
2,52,Conqueror,At-5,285/60r18,4
2,53,Roadstone,Hp02,195/60r16,1
