page,row,brand,pattern,size,rawQuantity,quantity,sku,currentQuantity,price,publication,identityConfidence,imageStatus,group,notes
"1","1","Ralson","RDR75","265/70r19.5","8","8","ralson-rdr75-26570r195","8","390","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","2","Ralson","RMR61","265/70r19.5","7","7","ralson-rmr61-26570r195","7","380","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","3","Ralson","RMR61","295/80r22.5","51","51","ralson-rmr61-29580r225","51","450","published","record-match; physical identity unverified","existing asset; rights pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","4","Ralson","RAC55","295/80r22.5","38","38","","","","unpublished","unresolved","supplier imagery pending","withheld","Current identity, stock, price and publication approval required."
"1","5","Ralson","RDR75","295/80r22.5","16","16","ralson-rdr75-29580r225","16","550","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","6","Ralson","RMR61","385/65r22.5","16","16","ralson-rmr61-38565r225","16","690","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","7","Ralson","RTR71","11r22.5","17","17","ralson-rtr71-11r225","17","330","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","8","Ralson","RDR52","11r22.5","16","16","ralson-rdr52-11r225","16","380","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","9","Ralson","RDR55","11r22.5","36","36","ralson-rdr55-11r225","36","385","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","10","Ralson","RDC66","11r22.5","16","16","ralson-rdc66-11r225","16","430","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","11","Ralson","RAC55","11r22.5","22","22","ralson-rac55-11r225","22","395","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","12","Ralson","RDR75","235/75r17.5","16","16","ralson-rdr75-23575r175","16","290","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","13","Ralson","RMR61","235/75r17.5","16","16","ralson-rmr61-23575r175","16","299","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","14","Ralson","RMR61","275/70r22.5","3","3","ralson-rmr61-27570r225","3","450","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","15","Greforce","HD02","11r22.5","8","8","greforce-hd02-11r225","8","385","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","16","Greforce","GR881W","11r22.5","107","107","greforce-gr881w-11r225","107","220","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","17","Greforce","G-ARMOR","11r22.5","74","74","","","","unpublished","unresolved","supplier imagery pending","withheld","Current identity, stock, price and publication approval required."
"1","18","Greforce","GRD1919","11r22.5","37","37","greforce-grd1919-11r225","37","350","published","record-match; physical identity unverified","supplier imagery pending","exact-match","Static record match; historical source has no prices; current stock confirmation required."
"1","19","Greforce","G-PILOT","295/80r22.5","37","37","greforce-g-pilot-x1-29580r225","37","399","published","variant mapping; physical identity unverified","existing asset; rights pending","model-match","Static record match; historical source has no prices; current stock confirmation required."
